# ==============================================================================
# --- est / hse diff ---
# ==============================================================================
# --- 屋苑與公屋類別 (含有 邨/苑/山莊) ------------------------
九龍站柯士甸道西1號君臨天下18座7樓782室 | 九龍站柯士甸道西1號君臨天下 | 18座7樓782室
新界青衣長達路1-33號 | 新界青衣 | 長達路1-33號
鉴安商业大楼20楼全层 | 鉴安商业大楼 | 20楼全层
家居庭大楼地下G1号铺 | 家居庭大楼 | 地下G1号铺
大埔汀角路11號 | 大埔 | 汀角路11號
西环皇后大道西554-560号百好大楼1楼C室 | 西环皇后大道西554-560号 | 百好大楼1楼C室
新蒲岗大有街34号新科技广场大楼19楼 | 新蒲岗大有街34号 | 新科技广场大楼19楼
新蒲崗大有街34號新科技廣場大樓19樓 | 新蒲崗大有街34號 | 新科技廣場大樓19樓
柴湾利众街24号东贸广场大楼32楼3201室 | 柴湾利众街24号 | 东贸广场大楼32楼3201室
同德大楼4楼 | 同德大楼 | 4楼
屯門建國街 | 屯門 | 建國街
葵涌禾塘咀街87号 | 葵涌 | 禾塘咀街87号
上環永樂街 | 上環 | 永樂街
銅鑼灣駱克道 | 銅鑼灣 | 駱克道
筲箕湾东大街唐楼2楼全层 | 筲箕湾东大街 | 唐楼2楼全层
觀塘裕民坊 | 觀塘 | 裕民坊
信義工業大廈3樓 | 信義工業大廈 | 3樓
中環金融街8號國際金融中心 | 中環金融街8號 | 國際金融中心
沙田正街21-27号沙田中心 | 沙田正街21-27号 | 沙田中心
上水智昌路3号上水中心 | 上水智昌路3号 | 上水中心
屯門新平街2號屯門工業中心 | 屯門新平街2號 | 屯門工業中心
尖沙咀梳士巴利道10号香港文化中心 | 尖沙咀梳士巴利道10号 | 香港文化中心
觀塘開源道觀塘廣場 | 觀塘開源道 | 觀塘廣場
观塘开源道观塘广场 | 观塘开源道 | 观塘广场
觀塘開源道觀塘廣場 | 觀塘開源道 | 觀塘廣場
荃灣大壩街4-30號荃灣廣場 | 荃灣大壩街4-30號 | 荃灣廣場
長沙灣道833號長沙灣廣場 | 長沙灣道833號 | 長沙灣廣場
萬迪廣場觀塘巧明街98號 | 觀塘巧明街98號 | 萬迪廣場
尖沙咀東部加連威老道港晶中心 | 尖沙咀東部 | 加連威老道港晶中心
中西区西营盘德辅道西348号 | 中西区西营盘 | 德辅道西348号
新界西貢區西貢銀線灣銀岬路5號愛琴居 | 新界西貢區西貢 | 銀線灣銀岬路5號愛琴居
大埔林村梧桐寨村屋101號 | 大埔林村 | 梧桐寨村屋101號
沙田穗禾路12號花園別墅3號屋 | 沙田穗禾路12號 | 花園別墅3號屋
泰民樓7樓702室 | 泰民樓 | 7樓702室
德禮樓32樓C室 | 德禮樓 | 32樓C室
Room 3201, Mei Shing House | Room 3201 | Mei Shing House
明輝大廈深水埗15號元州街 | 深水埗元州街15號 | 明輝大廈
# ==============================================================================
# --- unordered address ---
# ==============================================================================
# --- 微觀單元（Micro）完全置前與宏觀位置（Macro）置後交錯 ---
18樓05室興華邨美華樓柴灣道33號 | 柴灣道33號興華邨 | 美華樓18樓05室
25樓12室頌棋閣天水圍天瑞路88號天頌苑 | 天水圍天瑞路88號天頌苑 | 頌棋閣25樓12室
7樓702室泰民樓大埔汀角路大元邨 | 大埔汀角路大元邨 | 泰民樓7樓702室
高雅閣3樓4室青衣青綠街18號青雅苑 | 青衣青綠街18號青雅苑 | 高雅閣3樓4室
地下五和新村3號粉嶺坪輋路 | 粉嶺坪輋路 | 五和新村3號地下
紫荊路12號錦綉花園元朗錦田北 | 元朗錦田北 | 紫荊路12號錦綉花園
11樓A室穗禾苑沙田穗禾路豐景閣 | 沙田穗禾路穗禾苑 | 豐景閣11樓A室
9樓21室將軍澳寶琳北路翠林邨輝林樓 | 將軍澳寶琳北路翠林邨 | 輝林樓9樓21室
第4座12樓10室鳴琴路寶田邨 | 鳴琴路寶田邨 | 第4座12樓10室
曉星閣33樓02室觀塘曉光街曉麗苑 | 觀塘曉光街曉麗苑 | 曉星閣33樓02室
5樓11室黃大仙正德街10號黃大仙下邨龍輝樓 | 黃大仙正德街10號 | 黃大仙下邨龍輝樓5樓11室
麗田樓14樓A室深水埗白田街白田邨 | 深水埗白田街白田邨 | 麗田樓14樓A室
港興閣2樓D室香港仔中心香港仔大道180號 | 香港仔中心香港仔大道180號 | 港興閣2樓D室
安禧閣40樓08室 屯門湖翠路1號兆禧苑 | 屯門湖翠路1號兆禧苑 | 安禧閣40樓08室
# --- 私人屋苑與大廈名稱組件打亂順序 ---
海棠閣22樓F室太古城道18號太古城 | 太古城道18號太古城 | 海棠閣22樓F室
第3期32座5樓B室美孚新邨百老匯街68號 | 美孚新邨百老匯街68號 | 第3期32座5樓B室
第11期紫荊苑第9座10樓C室黃埔花園紅磡 | 紅磡黃埔花園第11期 | 紫荊苑第9座10樓C室
第13座怡麗閣28樓A室海怡半島第2期鴨脷洲 | 鴨脷洲海怡半島第2期 | 第13座怡麗閣28樓A室
1座15樓E單位迎海馬鞍山西沙路 | 馬鞍山西沙路迎海 | 1座15樓E單位
6座33樓H室新都城2期將軍澳欣景路8號 | 將軍澳欣景路8號新都城 | 2期6座33樓H室
T座14樓2室德福花園九龍灣啟祥道 | 九龍灣啟祥道德福花園 | T座14樓2室
第19座海蔚閣7樓D室海濱花園荃灣怡康街 | 荃灣怡康街海濱花園 | 第19座海蔚閣7樓D室
宇晴軒第1座40樓F室長沙灣深盛路8號 | 長沙灣深盛路8號宇晴軒 | 第1座40樓F室
帝柏海灣第2座25樓D室大角咀海庭道 | 大角咀海庭道帝柏海灣 | 第2座25樓D室
I座帝皇閣12樓 沙田大涌橋路52號富豪花園 | 沙田大涌橋路52號富豪花園 | I座帝皇閣12樓
第4座8樓C室 北角電氣道城市花園 | 北角電氣道城市花園 | 第4座8樓C室
第3座28樓B室 青衣担杆山路6號灝景灣 | 青衣担杆山路6號灝景灣 | 第3座28樓B室
第2座5樓A室 馬鞍山鞍駿街雅濤居 | 馬鞍山鞍駿街雅濤居 | 第2座5樓A室
第1座22樓F室 大埔太和路太和中心 | 大埔太和路太和中心 | 第1座22樓F室
# --- 獨立商住中心/大廈組件打亂順序 ---
章記大樓4樓A室德輔道中88號中環 | 中環德輔道中88號 | 章記大樓4樓A室
海洋中心15樓1501室廣東道5號尖沙咀 | 尖沙咀廣東道5號海洋中心 | 15樓1501室
北角城中心12樓英皇道250號北角 | 北角英皇道250號 | 北角城中心12樓
觀塘廣場5樓502號舖開源道68號觀塘 | 觀塘開源道68號 | 觀塘廣場5樓502號舖
#---------------------大廈-----------------------
恆隆大廈 11樓1103室 彌敦道580號 旺角 | 旺角彌敦道580號 | 恆隆大廈11樓1103室
金鵝商業大廈 20樓 軒尼詩道 銅鑼灣 | 銅鑼灣軒尼詩道 | 金鵝商業大廈20樓
大有大廈 8樓804室 莊士敦道 灣仔 | 灣仔莊士敦道 | 大有大廈8樓804室
華打大廈 3樓C室 長沙灣道 深水埗 | 深水埗長沙灣道 | 華打大廈3樓C室
招商局大廈 25樓 信德中心 上環干 諾道中168號 | 上環干諾道中168號信德中心 | 招商局大廈25樓
茂盛大廈 5樓D室 元州街290號 長沙灣 | 長沙灣元州街290號 | 茂盛大廈5樓D室
寶鄉大廈 地下B舖 寶鄉街45號 大埔 | 大埔寶鄉街45號 | 寶鄉大廈地下B舖
華興商業大廈 7樓7B室上海街383號 油麻地 | 油麻地上海街383號 | 華興商業大廈7樓7B室
# --- 無空格緊湊字串極端測試 (No Spaces) ---
葵順工業大廈6樓B座貨櫃碼頭路葵涌 | 葵涌貨櫃碼頭路 | 葵順工業大廈6樓B座
新寶工業大廈11樓4室五芳街10號新譜崗 | 新譜崗五芳街10號 | 新寶工業大廈11樓4室
德福大廈16樓1608室宏開道九龍灣 | 九龍灣宏開道 | 德福大廈16樓1608室
保濟工業大廈15樓黃竹坑 | 黃竹坑 | 保濟工業大廈15樓
君豪工商大廈3樓B室洋松街大角咀 | 大角咀洋松街 | 君豪工商大廈3樓B室
億利工業大廈10樓1011室長裕街8號荔枝角 | 荔枝角長裕街8號 | 億利工業大廈10樓1011室
兆發工業大廈4樓E室偉業街139號觀塘 | 觀塘偉業街139號 | 兆發工業大廈4樓E室
金豐工業大廈21樓A2室大連排道葵涌 | 葵涌大連排道 | 金豐工業大廈21樓A2室
六合工業大廈地下C號工廠六合街8號新蒲崗 | 新蒲崗六合街8號 | 六合工業大廈地下C號工廠
信義工業大廈3樓白田壩街36號荃灣 | 荃灣白田壩街36號 | 信義工業大廈3樓
世界工業中心A座2樓山尾街火炭 | 火炭山尾街世界工業中心 | A座2樓
香港工業中心B座8樓5室長沙灣 | 長沙灣香港工業中心 | B座8樓5室
海灣工業中心地下3號舖德士古道120號荃灣 | 荃灣德士古道120號 | 海灣工業中心地下3號舖
南洋廣場22樓2201室鴻圖道57號觀塘 | 觀塘鴻圖道57號南洋廣場 | 22樓2201室
#------------------大道-----------------------
海怡半島南區鴨脷洲怡南大道8號第1座海怡半島廈5樓A室 | 海怡半島南區鴨脷洲怡南大道8號 | 第1座海怡半島廈5樓A室
康怡花園東區鰂魚涌康怡大道33號第E座康怡花園廈8樓B室 | 康怡花園東區鰂魚涌康怡大道33號 | 第E座康怡花園廈8樓B室
太古城東區鰂魚涌太古大道111號第M座太古城廈10樓B室 | 太古城東區鰂魚涌太古大道111號 | 第M座太古城廈10樓B室
港島東中心東區鰂魚涌英皇大道979號第1座港島東中心大廈8樓C室 | 港島東中心東區鰂魚涌英皇大道979號 | 第1座港島東中心大廈8樓C室
健康村東區北角英皇大道728號第C座健康村廈9樓C室 | 健康村東區北角英皇大道728號 | 第C座健康村廈9樓C室
樂融軒東區北角英皇大道250號第3座樂融軒廈7樓B室 | 樂融軒東區北角英皇大道250號 | 第3座樂融軒廈7樓B室
港島華庭東區北角英皇大道183號第B座港島華庭廈12樓A室 | 港島華庭東區北角英皇大道183號 | 第B座港島華庭廈12樓A室
御景灣東區北角御景大道18號第F座御景灣廈4樓A室 | 御景灣東區北角御景大道18號 | 第F座御景灣廈4樓A室
龍濤苑西貢區將軍澳龍濤大道22號第3座龍濤苑廈12樓C室 | 龍濤苑西貢區將軍澳龍濤大道22號 | 第3座龍濤苑廈12樓C室
黃大仙中心黃大仙區黃大仙黃大仙大道12號第A座黃大仙中心大廈9樓B室 | 黃大仙中心黃大仙區黃大仙黃大仙大道12號 | 第A座黃大仙中心大廈9樓B室
黃大仙花園黃大仙區黃大仙黃大仙大道22號第B座黃大仙花園大廈11樓A室 | 黃大仙花園黃大仙區黃大仙黃大仙大道22號 | 第B座黃大仙花園大廈11樓A室
港專學院東區北角英皇大道1號第1座港專大廈9樓B室 | 港專學院東區北角英皇大道1號 | 第1座港專大廈9樓B室
南豐新邨南區香港仔南豐大道12號第D座南豐新邨大廈3樓A室 | 南豐新邨南區香港仔南豐大道12號 | 第D座南豐新邨大廈3樓A室
緻豐花園九龍城區九龍塘緻豐大道9號第B座緻豐花園大廈15樓B室 | 緻豐花園九龍城區九龍塘緻豐大道9號 | 第B座緻豐花園大廈15樓B室
欣盛苑葵青區青衣欣盛大道1號第A座欣盛苑大廈6樓C室 | 欣盛苑葵青區青衣欣盛大道1號 | 第A座欣盛苑大廈6樓C室
華景園荃灣區荃灣華景大道17號第2座華景園大廈7樓A室 | 華景園荃灣區荃灣華景大道17號 | 第2座華景園大廈7樓A室
美孚新邨深水埗區石硤尾美孚大道4號第6座美孚新邨大廈13樓B室 | 美孚新邨深水埗區石硤尾美孚大道4號 | 第6座美孚新邨大廈13樓B室
銀禧花園西貢區將軍澳銀禧大道5號第5座銀禧花園大廈13樓C室 | 銀禧花園西貢區將軍澳銀禧大道5號 | 第5座銀禧花園大廈13樓C室
大埔中心大埔區大埔大埔大道100號第A座大埔中心大廈2樓B室 | 大埔中心大埔區大埔大埔大道100號 | 第A座大埔中心大廈2樓B室
八福邨大埔區大埔大埔大道10號第B座八福邨大廈6樓C室 | 八福邨大埔區大埔大埔大道10號 | 第B座八福邨大廈6樓C室
東區西灣河英皇大道553號第A座欣圖大廈5樓A室 | 東區西灣河英皇大道553號 | 第A座欣圖大廈5樓A室
深水埗區長沙灣金麗大道18號第3座金麗大廈5樓B室 | 深水埗區長沙灣金麗大道18號 | 第3座金麗大廈5樓B室
景怡園東區筲箕灣灣景大道12號第E座景怡園大廈13樓A室 | 景怡園東區筲箕灣灣景大道12號 | 第E座景怡園大廈13樓A室
灣景花園東區筲箕灣灣景大道6號第A座灣景花園大廈10樓B室 | 灣景花園東區筲箕灣灣景大道6號 | 第A座灣景花園大廈10樓B室
灣仔區銅鑼灣告士打大道10號第1座華德大廈9樓C室 | 灣仔區銅鑼灣告士打大道10號 | 第1座華德大廈9樓C室
恒豐豪庭灣仔區銅鑼灣告士打大道88號第F座恒豐豪庭大廈10樓B室 | 恒豐豪庭灣仔區銅鑼灣告士打大道88號 | 第F座恒豐豪庭大廈10樓B室
灣仔區銅鑼灣告士打大道18號第E座樂都大廈15樓A室 | 灣仔區銅鑼灣告士打大道18號 | 第E座樂都大廈15樓A室
灣仔區灣仔羅素大道1號第A座羅素大廈4樓B室 | 灣仔區灣仔羅素大道1號 | 第A座羅素大廈4樓B室
新城市廣場沙田區沙田沙田大道18號第D座新城市廣場大廈10樓A室 | 新城市廣場沙田區沙田沙田大道18號 | 第D座新城市廣場大廈10樓A室
河畔豪庭沙田區沙田沙田大道30號第E座河畔豪庭大廈5樓C室 | 河畔豪庭沙田區沙田沙田大道30號 | 第E座河畔豪庭大廈5樓C室
沙田區沙田沙田大道20號第C座雅景大廈8樓B室 | 沙田區沙田沙田大道20號 | 第C座雅景大廈8樓B室
龍翔苑九龍城區九龍城龍翔大道1號第F座龍翔苑大廈7樓B室 | 龍翔苑九龍城區九龍城龍翔大道1號 | 第F座龍翔苑大廈7樓B室
九龍城區九龍城龍翔大道9號第5座龍翔大廈12樓A室 | 九龍城區九龍城龍翔大道9號 | 第5座龍翔大廈12樓A室
豐盛苑沙田區沙田豐盛大道5號第F座豐盛苑大廈8樓C室 | 豐盛苑沙田區沙田豐盛大道5號 | 第F座豐盛苑大廈8樓C室
駿景園沙田區沙田駿景大道3號第3座駿景園大廈12樓A室 | 駿景園沙田區沙田駿景大道3號 | 第3座駿景園大廈12樓A室
新荔苑葵青區葵涌新荔大道12號第2座新荔苑大廈4樓B室 | 新荔苑葵青區葵涌新荔大道12號 | 第2座新荔苑大廈4樓B室
葵興花園葵青區葵興葵興大道17號第C座葵興花園廈11樓C室 | 葵興花園葵青區葵興葵興大道17號 | 第C座葵興花園廈11樓C室
青衣邨葵青區青衣青衣大道23號第A座青衣邨廈7樓A室 | 青衣邨葵青區青衣青衣大道23號 | 第A座青衣邨廈7樓A室
荃灣廣場荃灣區荃灣荃灣大道4號第B座荃灣廣場廈9樓C室 | 荃灣廣場荃灣區荃灣荃灣大道4號 | 第B座荃灣廣場廈9樓C室
#--------------------------------------辦公室------------------------------
香港中環紅棉路8號東昌大廈24樓署總辦公室 | 香港中環紅棉路8號 | 東昌大廈24樓署總辦公室
九龍旺角西洋菜南街65號金龍中心10樓會議辦公室 | 九龍旺角西洋菜南街65號 | 金龍中心10樓會議辦公室
新界沙田大涌橋路28號帝都大廈15樓行政辦公室 | 新界沙田大涌橋路28號 | 帝都大廈15樓行政辦公室
香港灣仔軒尼詩道300號嘉嘉大廈7樓業務辦公室 | 香港灣仔軒尼詩道300號 | 嘉嘉大廈7樓業務辦公室
香港金鐘夏愨道18號遠東金融中心20樓金融辦公室 | 香港金鐘夏愨道18號 | 遠東金融中心20樓金融辦公室
九龍深水埗長沙灣道678號麗新商業中心5樓設計辦公室 | 九龍深水埗長沙灣道678號 | 麗新商業中心5樓設計辦公室
香港銅鑼灣告士打道311號匯安大廈12樓行政辦公室 | 香港銅鑼灣告士打道311號 | 匯安大廈12樓行政辦公室
香港北角英皇道111號寶馬大廈4樓律師辦公室 | 香港北角英皇道111號 | 寶馬大廈4樓律師辦公室
九龍塘達之路80號又一城企業辦公室 | 九龍塘達之路80號 | 又一城企業辦公室
香港中環皇后大道中15號置地廣場21樓董事辦公室 | 香港中環皇后大道中15號 | 置地廣場21樓董事辦公室
九龍尖沙咀彌敦道100號九龍中心18樓管理辦公室 | 九龍尖沙咀彌敦道100號 | 九龍中心18樓管理辦公室
香港西環干諾道西188號皇后辦公大廈10樓辦公室 | 香港西環干諾道西188號 | 皇后辦公大廈10樓辦公室
香港上環德輔道中88號新紀元大廈9樓採購辦公室 | 香港上環德輔道中88號 | 新紀元大廈9樓採購辦公室
香港中環金融街8號國金一期30樓項目辦公室 | 香港中環金融街8號 | 國金一期30樓項目辦公室
香港灣仔港灣道18號中環廣場27樓行政辦公室 | 香港灣仔港灣道18號 | 中環廣場27樓行政辦公室
九龍紅磡德民街4號德民大廈6樓辦公室 | 九龍紅磡德民街4號 | 德民大廈6樓辦公室
新界荃灣青山公路398號荃灣廣場16樓人事辦公室 | 新界荃灣青山公路398號 | 荃灣廣場16樓人事辦公室
香港銅鑼灣謝斐道438號恒隆中心11樓辦公室 | 香港銅鑼灣謝斐道438號 | 恒隆中心11樓辦公室
香港中環皇后大道中99號中環中心25樓財務辦公室 | 香港中環皇后大道中99號 | 中環中心25樓財務辦公室
九龍觀塘鴻圖道79號鴻圖中心8樓辦公室 | 九龍觀塘鴻圖道79號 | 鴻圖中心8樓辦公室
香港灣仔告士打道30號新鴻基地產大廈17樓銷售辦公室 | 香港灣仔告士打道30號 | 新鴻基地產大廈17樓銷售辦公室
九龍旺角花園街2-16號銀城大廈7樓辦公室 | 九龍旺角花園街2-16號 | 銀城大廈7樓辦公室
香港上環德輔道中287號申禮大廈5樓辦公室 | 香港上環德輔道中287號 | 申禮大廈5樓辦公室
香港中環花園道3號中國建設銀行大廈18樓法律辦公室 | 香港中環花園道3號 | 中國建設銀行大廈18樓法律辦公室
新界元朗青山公路8號元朗商業中心12樓辦公室 | 新界元朗青山公路8號 | 元朗商業中心12樓辦公室
九龍尖沙咀加連威老道100號加連威大廈9樓辦公室 | 九龍尖沙咀加連威老道100號 | 加連威大廈9樓辦公室
香港北角渣華道123號渣華大廈14樓辦公室 | 香港北角渣華道123號 | 渣華大廈14樓辦公室
九龍油麻地彌敦道363號九龍行15樓會計辦公室 | 九龍油麻地彌敦道363號 | 九龍行15樓會計辦公室
新界沙田車公廟路18號沙田商業中心9樓辦公室 | 新界沙田車公廟路18號 | 沙田商業中心9樓辦公室
香港西環德輔道西338號山寧大廈6樓辦公室 | 香港西環德輔道西338號 | 山寧大廈6樓辦公室
九龍紅磡都會道96號都會商業大廈10樓辦公室 | 九龍紅磡都會道96號 | 都會商業大廈10樓辦公室
香港沙田沙田正街18號新城市廣場15樓辦公室 | 香港沙田沙田正街18號 | 新城市廣場15樓辦公室
香港銅鑼灣堅拿道西15號時代廣場14樓辦公室 | 香港銅鑼灣堅拿道西15號 | 時代廣場14樓辦公室
香港大埔大埔鄉大道128號大埔大廈10樓辦公室 | 香港大埔大埔鄉大道128號 | 大埔大廈10樓辦公室
香港尖沙咀柯士甸道29號美麗華大廈12樓辦公室 | 香港尖沙咀柯士甸道29號 | 美麗華大廈12樓辦公室
新界屯門屯門鄉事會路23號屯門商業大廈9樓辦公室 | 新界屯門屯門鄉事會路23號 | 屯門商業大廈9樓辦公室
九龍灣宏光道33號宏光大樓8樓辦公室 | 九龍灣宏光道33號 | 宏光大樓8樓辦公室
香港中環德輔道中161號遠東發展大廈16樓辦公室 | 香港中環德輔道中161號 | 遠東發展大廈16樓辦公室
新界荃灣荃灣大道4號荃灣廣場11樓辦公室 | 新界荃灣荃灣大道4號 | 荃灣廣場11樓辦公室
香港灣仔告士打道18號灣仔商業大廈20樓辦公室 | 香港灣仔告士打道18號 | 灣仔商業大廈20樓辦公室
# --- 混亂標點符號切分與倒序測試 (Messy Punctuation) ---
23號屋,富豪海灣,黃麻角道88號,赤柱 | 赤柱黃麻角道88號 | 富豪海灣23號屋
14樓C室,%金翠閣,昂運路,昂船洲 | 昂船洲昂運路 | 金翠閣14樓C室
19樓1902室,南豐中心,青山公路264號,荃灣 | 荃灣青山公路264號 | 南豐中心19樓1902室
5樓@,金利商業大廈,金馬倫道,尖沙咀 | 尖沙咀金馬倫道 | 金利商業大廈5樓
1座1005室,%新港中心,廣東道,尖沙咀 | 尖沙咀廣東道新港中心 | 1座1005室
18樓1820室,@%始創中心,彌敦道750號,旺角 | 旺角彌敦道750號 | 始創中心18樓1820室
4樓406室,東達工業大廈.渣華道,鰂魚涌 | 鰂魚涌渣華道 | 東達工業大廈4樓406室
11樓1101室。新領域廣場,荃灣政府合署旁 | 荃灣政府合署旁 | 新領域廣場11樓1101室
B座3樓,嘉里城大廈,葵喜街1號。葵涌 | 葵涌葵喜街1號 | 嘉里城大廈B座3樓
地下,西銘大廈,薄扶林道102號。石塘咀 | 石塘咀薄扶林道102號 | 西銘大廈地下
4座6樓/中港城。廣東道。尖沙咀 | 尖沙咀廣東道中港城 | 4座6樓
15樓C室,新成大廈,耀東街,筲箕灣 | 筲箕灣耀東街 | 新成大廈15樓C室
10樓1004室/信和中心/彌敦道/旺角 | 旺角彌敦道信和中心 | 10樓1004室
22樓,萬迪廣場.巧明街,觀塘 | 觀塘巧明街 | 萬迪廣場22樓
11樓1105室.港晶中心,加連威老道,尖沙咀東部 | 尖沙咀東部加連威老道 | 港晶中心11樓1105室
#-------------------------------------------------------
#                      In English
#------------------------------------------------------
ROOM A, 12 FLOOR, TOWER 1, GRAND PALACE, 8 HOI CHING ROAD, KWUN TONG DISTRICT, Kowloon | ROOM A, 12 FLOOR, TOWER 1, GRAND PALACE | 8 HOI CHING ROAD, KWUN TONG DISTRICT, Kowloon
ROOM 5, 28 FLOOR, TOWER 3, THE VICTORIA, 33 LOCKHART ROAD, WAN CHAI DISTRICT, Hong Kong Island | ROOM 5, 28 FLOOR, TOWER 3, THE VICTORIA | 33 LOCKHART ROAD, WAN CHAI DISTRICT, Hong Kong Island
ROOM C, 7 FLOOR, SUNSHINE PLAZA, 18 NATHAN ROAD, YAU TSIM MONG DISTRICT, Kowloon | ROOM C, 7 FLOOR, SUNSHINE PLAZA | 18 NATHAN ROAD, YAU TSIM MONG DISTRICT, Kowloon
ROOM 1203, 12 FLOOR, TOWER 5, COASTAL VILLA, 2 SAM SHING STREET, TUEN MUN DISTRICT, New Territories | ROOM 1203, 12 FLOOR, TOWER 5, COASTAL VILLA | 2 SAM SHING STREET, TUEN MUN DISTRICT, New Territories
ROOM D, 30 FLOOR, TOWER 6, THE WINGS, 12 TAI WAN ROAD, SAI KUNG DISTRICT, New Territories | ROOM D, 30 FLOOR, TOWER 6, THE WINGS | 12 TAI WAN ROAD, SAI KUNG DISTRICT, New Territories
ROOM 102, 10 FLOOR, GOLDEN CENTURY, 68 DES VOEUX ROAD CENTRAL, CENTRAL AND WESTERN DISTRICT, Hong Kong Island | ROOM 102, 10 FLOOR, GOLDEN CENTURY | 68 DES VOEUX ROAD CENTRAL, CENTRAL AND WESTERN DISTRICT, Hong Kong Island
ROOM B, 22 FLOOR, TOWER 1, THE PACIFICA, 8 SHAM MONG ROAD, SHAM SHUI PO DISTRICT, Kowloon | ROOM B, 22 FLOOR, TOWER 1, THE PACIFICA | 8 SHAM MONG ROAD, SHAM SHUI PO DISTRICT, Kowloon
#------------------District----------------------------
ROOM 2, LG/F, HOUSE 3, CARMEL HILL, 12 CARMEL ROAD, SOUTHERN DISTRICT, Hong Kong | ROOM 2, LG/F, HOUSE 3, CARMEL HILL | 12 CARMEL ROAD, SOUTHERN DISTRICT, Hong Kong
Flat 7, 8/F, Pacific Estate, 88 Queensway, Central DISTRICT, Admiralty | Flat 7, 8/F, Pacific Estate | 88 Queensway, Central DISTRICT, Admiralty
Flat 20, 9/F, Sun Hung Kai Estate, 30 Harbour Road, Wan Chai DISTRICT, Wan Chai | Flat 20, 9/F, Sun Hung Kai Estate | 30 Harbour Road, Wan Chai DISTRICT, Wan Chai
15/F, Block F, Devon House, Taikoo Shing Estate, 979 King's Road, Eastern District, Quarry Bay | 15/F, Block F, Devon House | Taikoo Shing Estate, 979 King's Road, Eastern District, Quarry Bay
Flat 6, 12/F, Kornhill Estate, 1 Kornhill Road, Eastern District, Quarry Bay | Flat 6, 12/F, Kornhill Estate | 1 Kornhill Road, Eastern District, Quarry Bay
8/F, Block B, Cityplaza Estate, 1111 King's Road, Eastern District, Taikoo Shing | 8/F, Block B, Cityplaza Estate | 1111 King's Road, Eastern District, Taikoo Shing
Flat 18, 9/F, Fortress Tower, Fortress Estate, 250 King's Road, Eastern District, North Point | Flat 18, 9/F, Fortress Tower, Fortress Estate | 250 King's Road, Eastern District, North Point
Flat 13, 4/F, Phase 1, South Horizons Estate, 2 Yi Nam Road, Southern District, Ap Lei Chau | Flat 13, 4/F, Phase 1, South Horizons Estate | 2 Yi Nam Road, Southern District, Ap Lei Chau
Flat 5, 14/F, Broadview Estate, 1 Shum Wan Road, Southern District, Wong Chuk Hang | Flat 5, 14/F, Broadview Estate | 1 Shum Wan Road, Southern District, Wong Chuk Hang
Flat 10, 9/F, Marina Estate, 512 Victoria Road, Southern District, Aberdeen | Flat 10, 9/F, Marina Estate | 512 Victoria Road, Southern District, Aberdeen
Flat 17, 12/F, ISquare Estate, 63 Nathan Road, Yau Tsim Mong District, Tsim Sha Tsui | Flat 17, 12/F, ISquare Estate | 63 Nathan Road, Yau Tsim Mong District, Tsim Sha Tsui
Flat 8, 5/F, New Century Estate, 193 Prince Edward Road West, Yau Tsim Mong District, Mong Kok | Flat 8, 5/F, New Century Estate | 193 Prince Edward Road West, Yau Tsim Mong District, Mong Kok
Flat 3, 8/F, Dragon Estate, 37K Yen Chow Street, Sham Shui Po District, Sham Shui Po | Flat 3, 8/F, Dragon Estate | 37K Yen Chow Street, Sham Shui Po District, Sham Shui Po
Flat 19, 6/F, Golden Estate, 146 Fuk Wa Street, Sham Shui Po District, Sham Shui Po | Flat 19, 6/F, Golden Estate | 146 Fuk Wa Street, Sham Shui Po District, Sham Shui Po
Flat 14, 2/F, Lai Chi Kok Estate, 1 Lai Wan Road, Sham Shui Po DISTRICT, Lai Chi Kok | Flat 14, 2/F, Lai Chi Kok Estate | 1 Lai Wan Road, Sham Shui Po DISTRICT, Lai Chi Kok
Flat 6, 8/F, Kowloon City Estate, 102 Nga Tsin Wai Road, Kowloon City District, Kowloon City | Flat 6, 8/F, Kowloon City Estate | 102 Nga Tsin Wai Road, Kowloon City District, Kowloon City
Flat 9, 15/F, Central Park Estate, 8 Kwai Chung Road, Yau Tsim Mong DISTRICT, West Kowloon | Flat 9, 15/F, Central Park Estate | 8 Kwai Chung Road, Yau Tsim Mong DISTRICT, West Kowloon
Flat 5, 10/F, Citywalk Estate, 1 Yeung Uk Road, Tsuen Wan District, Tsuen Wan | Flat 5, 10/F, Citywalk Estate | 1 Yeung Uk Road, Tsuen Wan District, Tsuen Wan
4/F, Block 7, Discovery Park Estate, 398 Castle Peak Road, Tsuen Wan District, Tsuen Wan | 4/F, Block 7, Discovery Park Estate | 398 Castle Peak Road, Tsuen Wan District, Tsuen Wan
5/F, Block A, Fortune Building, Fortune Estate, 12 Queen's Road Central, Central District, Central | 5/F, Block A, Fortune Building | Fortune Estate, 12 Queen's Road Central, Central District, Central
10/F, Block C, Man Yee Building, Man Yee Estate, 68 Des Voeux Road Central, Central District, Sheung Wan | 10/F, Block C, Man Yee Building | Man Yee Estate, 68 Des Voeux Road Central, Central District, Sheung Wan
7/F, Block C, Revenue Tower, Revenue Estate, 5 Gloucester Road, Wan Chai District, Wan Chai | 7/F, Block C, Revenue Tower, Revenue Estate | 5 Gloucester Road, Wan Chai District, Wan Chai
